WBID,name,type,OC,OC_num,MC,MC_num,RBD,RBD_num
GB103022076521,Chevington Burn/Steads Burn from Source to Tidal Limit,River,Lyne and Druridge Bay Coast,3294,Northumberland Rivers,3067,Northumbria,3
GB103025072170,Deepdale Beck from Source to River Tees,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072070,Eller Beck from Source to River Greta,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072040,Barton Beck from Source to Clow Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072080,Mary Wild Beck from Source to Clow Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072130,Greta from Gill Beck to River Tees,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072110,Greta from Eller Beck to Gill Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072150,Aldbrough Beck from Source to Clow Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072190,Tees from River Greta to River Skerne,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072200,Langley Bk and Westholme Bk frm Sudburn Bk to Tees,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072220,Percy Beck Catchment (Trib of Tees),River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072120,Greta from Source to Sleightholme Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072310,Langley Beck from Source to Sudburn Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072140,Greta from Sleightholme Beck to Eller Beck,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072100,Clow Beck from Barton Beck to Tees,River,Tees Middle,3447,Tees,3093,Northumbria,3
GB103025072300,Piercebridge Beck from Source to Tees,River,Tees Middle,3447,Tees,3093,Northumbria,3
